notation	class_num	line
#               24		1
include         19		1
<               30		1
fstream          0		1
>               28		1
#               24		2
include         19		2
<               30		2
iostream        20		2
>               28		2
#               24		3
include         19		3
<               30		3
string           0		3
>               28		3
#               24		4
include         19		4
<               30		4
vector           0		4
>               28		4
#               24		5
include         19		5
<               30		5
map              0		5
>               28		5
#               24		6
include         19		6
<               30		6
algorithm        0		6
>               28		6
using            0		7
namespace        0		7
std              0		7
;               44		7
//              40		8
 var first should not use like "first + num", because if one case is dropped, the case list is confused, thus use
				2		8
//              40		9
 like "first ++", dynamically computing the line num.
				2		9
//              40		12
 code annotation  is needed todo
				2		12
//              40		13
 class num output
				2		13
struct           0		14
Keyword          0		14
{               47		14
string           0		15
notation         0		15
;               44		15
int             11		16
class            0		16
num              0		16
;               44		16
int             11		17
line             0		17
;               44		17
Keyword          0		18
(               45		18
string           0		18
str              0		18
,               51		18
int             11		18
num              0		18
,               51		18
int             11		18
line             0		18
)               46		18
{               47		18
notation         0		19
=               26		19
str              0		19
;               44		19
class            0		20
num              0		20
=               26		20
num              0		20
;               44		20
line             0		21
=               26		21
line             0		21
;               44		21
}               48		22
Keyword          0		23
(               45		23
char             0		23
*               39		23
str              0		23
,               51		23
int             11		23
num              0		23
,               51		23
int             11		23
line             0		23
)               46		23
{               47		23
notation         0		24
=               26		24
string           0		24
(               45		24
str              0		24
)               46		24
;               44		24
class            0		25
num              0		25
=               26		25
num              0		25
;               44		25
line             0		26
=               26		26
line             0		26
;               44		26
}               48		27
Keyword          0		28
(               45		28
char             0		28
str              0		28
,               51		28
int             11		28
num              0		28
,               51		28
int             11		28
line             0		28
)               46		28
{               47		28
notation         0		29
=               26		29
str              0		29
;               44		29
class            0		30
num              0		30
=               26		30
num              0		30
;               44		30
line             0		31
=               26		31
line             0		31
;               44		31
}               48		32
}               48		33
;               44		33
vector           0		34
<               30		34
Keyword          0		34
>               28		34
symbol           0		34
table            0		34
;               44		34
vector           0		35
<               30		35
Keyword          0		35
>               28		35
output           0		35
;               44		35
//              40		36
 following notation is just a for the class_num , line is random.
				2		36
Keyword          0		37
identifier       0		37
num              0		37
(               45		37
"               52		37
identifier       0		37
"               52		37
,               51		37
0                1		37
,               51		37
0                1		37
)               46		37
;               44		37
Keyword          0		38
numeric          0		38
(               45		38
"               52		38
numeric          0		38
"               52		38
,               51		38
1                1		38
,               51		38
0                1		38
)               46		38
;               44		38
Keyword          0		39
annotation       0		39
(               45		39
"               52		39
annotation       0		39
"               52		39
,               51		39
2                1		39
,               51		39
0                1		39
)               46		39
;               44		39
int             11		41
init             0		41
(               45		41
)               46		41
{               47		41
ifstream         0		42
fin              0		42
;               44		42
fin              0		43
open             0		43
(               45		43
"               52		43
/               42		43
reserved         0		43
word             0		43
txt              0		43
"               52		43
,               51		43
ios              0		43
:               43		43
:               43		43
in               0		43
)               46		43
;               44		43
if              14		44
(               45		44
!               52		44
fin              0		44
)               46		44
cerr             0		44
<               30		44
<               30		44
"               52		44
open             0		44
file             0		44
error            0		44
n                0		44
"               52		44
;               44		44
string           0		45
tem              0		45
;               44		45
int             11		46
i                0		46
=               26		46
10               1		46
;               44		46
while           18		47
(               45		47
fin              0		47
>               28		47
>               28		47
tem              0		47
)               46		47
{               47		47
symbol           0		48
table            0		48
emplace          0		48
back             0		48
(               45		48
Keyword          0		48
(               45		48
tem              0		48
,               51		48
i                0		48
++              31		48
,               51		48
0                1		48
)               46		48
)               46		48
;               44		48
}               48		49
return           0		51
0                1		51
;               44		51
}               48		52
int             11		55
lexical          0		55
analysis         0		55
(               45		55
string           0		55
file             0		55
path             0		55
)               46		55
{               47		55
ifstream         0		56
fin              0		56
;               44		56
int             11		57
first            0		57
=               26		57
symbol           0		57
table            0		57
[               49		57
symbol           0		57
table            0		57
size             0		57
(               45		57
)               46		57
-               36		57
1                1		57
]               50		57
class            0		57
num              0		57
;               44		57
fin              0		58
open             0		58
(               45		58
file             0		58
path             0		58
,               51		58
ios              0		58
:               43		58
:               43		58
in               0		58
)               46		58
;               44		58
if              14		59
(               45		59
!               52		59
fin              0		59
)               46		59
cerr             0		59
<               30		59
<               30		59
"               52		59
open             0		59
the              0		59
file             0		59
needs            0		59
to               0		59
be               0		59
lex              0		59
analysed         0		59
error            0		59
n                0		59
"               52		59
;               44		59
char             0		60
sentence         0		60
char             0		60
[               49		60
1000             1		60
]               50		60
;               44		60
//              40		61
 in clion, the code is beginning with line 1
				2		61
int             11		62
line             0		62
=               26		62
1                1		62
;               44		62
while           18		63
(               45		63
fin              0		63
getline          0		63
(               45		63
sentence         0		63
char             0		63
,               51		63
1000             1		63
)               46		63
)               46		63
{               47		63
string           0		64
sentence         0		64
(               45		64
sentence         0		64
char             0		64
)               46		64
;               44		64
if              14		65
(               45		65
sentence         0		65
size             0		65
(               45		65
)               46		65
>=              27		65
80               1		65
)               46		65
{               47		65
cerr             0		66
<               30		66
<               30		66
"               52		66
line             0		66
"               52		66
<               30		66
<               30		66
line             0		66
<               30		66
<               30		66
"               52		66
length           0		66
is               0		66
longer           0		66
than             0		66
80               1		66
n                0		66
"               52		66
;               44		66
}               48		67
//              40		68
        todo 
				2		68
//              40		69
 the length of one code line is bigger than 80 is error
				2		69
//              40		70
        if(sentence.size()){
				2		70
//              40		71
            cerr << "line " << line << " length is longer than 80\n";
				2		71
//              40		72
        }    
				2		72
int             11		74
i                0		74
=               26		74
0                1		74
;               44		74
for             16		75
(               45		75
;               44		75
i                0		75
<               30		75
sentence         0		75
size             0		75
(               45		75
)               46		75
;               44		75
++              31		75
i                0		75
)               46		75
{               47		75
if              14		76
(               45		76
sentence         0		76
[               49		76
i                0		76
]               50		76
==              25		76
\               46		76
n                0		76
                46		76
||              49		76
sentence         0		76
[               49		76
i                0		76
]               50		76
==              25		76
                46		76
                46		76
||              49		76
sentence         0		76
[               49		76
i                0		76
]               50		76
==              25		76
\               46		76
t                0		76
)               46		76
{               47		76
continue         0		77
;               44		77
}               48		78
else            15		79
if              14		79
(               45		79
sentence         0		79
[               49		79
i                0		79
]               50		79
<=              29		79
z               46		79
                46		79
&&              47		79
sentence         0		79
[               49		79
i                0		79
]               50		79
>=              27		79
a               46		79
                46		79
||              49		79
sentence         0		79
[               49		79
i                0		79
]               50		79
<=              29		79
Z               46		79
&               46		79
&               48		79
sentence         0		79
[               49		79
i                0		79
]               50		79
>=              27		79
A               46		79
)               46		79
{               47		79
string           0		80
word             0		80
;               44		80
int             11		81
j                0		81
=               26		81
0                1		81
;               44		81
word             0		82
push             0		82
back             0		82
(               45		82
sentence         0		82
[               49		82
i                0		82
]               50		82
)               46		82
;               44		82
++              31		83
i                0		83
;               44		83
++              31		84
j                0		84
;               44		84
while           18		85
(               45		85
(               45		85
sentence         0		85
[               49		85
i                0		85
]               50		85
<=              29		85
z               46		85
                46		85
&&              47		85
sentence         0		85
[               49		85
i                0		85
]               50		85
>=              27		85
a               46		85
                46		85
||              49		85
sentence         0		85
[               49		85
i                0		85
]               50		85
<=              29		85
Z               46		85
&               46		85
&               48		85
sentence         0		85
[               49		85
i                0		85
]               50		85
>=              27		85
A               46		85
)               46		85
||              49		85
(               45		86
sentence         0		86
[               49		86
i                0		86
]               50		86
<=              29		86
9               46		86
&               46		86
&               48		86
sentence         0		86
[               49		86
i                0		86
]               50		86
>=              27		86
0               46		86
