notation	class_num	line
k                0		1
=               26		1
a                0		1
-               36		1
b                0		1
*               39		1
c                0		1
#               24		1
223              1		2
=               26		2
23434            1		2
+               33		2
34324            1		2
+               33		2
(               45		2
a                0		2
*               39		2
b                0		2
/               42		2
c                0		2
)               46		2
+               33		2
(               45		2
a                0		2
*               39		2
b                0		2
/               42		2
(               45		2
2                1		2
-               36		2
2                1		2
)               46		2
)               46		2
#               24		2
a                0		3
=               26		3
(               45		3
a                0		3
+               33		3
b                0		3
-               36		3
c                0		3
)               46		3
*               39		3
32               1		3
/               42		3
a                0		3
#               24		3
b                0		4
=               26		4
(               45		4
a                0		4
+               33		4
c                0		4
*               39		4
b                0		4
*               39		4
#               24		4
