notation	class_num	line
(               45		1
a                0		1
+               33		1
c                0		1
*               39		1
b                0		1
#               24		1
a                0		2
+               33		2
b                0		2
#               24		2
(               45		3
a                0		3
+               33		3
c                0		3
b                0		3
)               46		3
#               24		3
23434            1		4
+               33		4
34324            1		4
+               33		4
(               45		4
a                0		4
*               39		4
b                0		4
/               42		4
c                0		4
)               46		4
+               33		4
(               45		4
a                0		4
*               39		4
b                0		4
/               42		4
(               45		4
2                1		4
-               36		4
2                1		4
)               46		4
)               46		4
#               24		4
(               45		5
a                0		5
+               33		5
b                0		5
c                0		5
)               46		5
*               39		5
32               1		5
/               42		5
a                0		5
#               24		5
a                0		6
-               36		6
b                0		6
*               39		6
#               24		6
