notation	class_num	line
#               24		1
include         19		1
<               30		1
iostream        20		1
>               28		1
int             11		3
main            24		3
(               45		3
)               46		3
{               47		3
int             11		4
a                0		4
=               26		4
1                1		4
;               44		4
int             11		5
b                0		5
=               26		5
3                1		5
;               44		5
int             11		6
c                0		6
=               26		6
a                0		6
+               33		6
b                0		6
;               44		6
int             11		7
;               44		7
printf          21		8
(               45		8
"               52		8
%               54		8
d                0		8
"               52		8
,               51		8
c                0		8
)               46		8
;               44		8
}               48		9
