notation	class_num	line
343324           1		1
=               26		1
23434            1		1
+               33		1
34324            1		1
+               33		1
(               45		1
a                0		1
*               39		1
b                0		1
/               42		1
c                0		1
)               46		1
+               33		1
(               45		1
a                0		1
*               39		1
b                0		1
/               42		1
(               45		1
2                1		1
-               36		1
2                1		1
)               46		1
)               46		1
#               24		1
a                0		2
=               26		2
(               45		2
a                0		2
+               33		2
b                0		2
-               36		2
c                0		2
)               46		2
*               39		2
32               1		2
/               42		2
a                0		2
#               24		2
b                0		3
=               26		3
(               45		3
a                0		3
+               33		3
c                0		3
*               39		3
b                0		3
#               24		3
k                0		4
=               26		4
a                0		4
-               36		4
b                0		4
*               39		4
c                0		4
#               24		4
